artist;link_lyrics;title;level;style;link_ytb;
M;https://www.paroles-musique.com/paroles-M-Onde_Sensuelle-lyrics,p828;Onde sensuelle;Débutant;Pop/Rock;https://www.youtube.com/watch?v=tbYAMlNvQSI;
M;https://www.paroles-musique.com/paroles-M-Qui_De_Nous_Deux-lyrics,p012530696;Qui de nous deux;Débutant;Pop/Rock;https://www.youtube.com/watch?v=XVW5qA7QLmw;
Olivia Ruiz;https://www.paroles-musique.com/paroles-Olivia_Ruiz-Elle_Panique-lyrics,p63509;Elle panique;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=KWvdqzUQUhI;
Olivia Ruiz;https://www.paroles-musique.com/paroles-Olivia_Ruiz-La_Femme_Chocolat-lyrics,p16903;La femme chocolat;Débutant;Pop/Rock;https://www.youtube.com/watch?v=gU8ckNkKbDA;
Brigitte;https://www.paroles-musique.com/paroles-Brigitte-Battez_Vous_remix-lyrics,p145924;Battez vous;Débutant;Pop/Rock;https://www.youtube.com/watch?v=NDchKlVQZ4A;
Brigitte;https://www.paroles-musique.com/paroles-Brigitte-A_Bouche_Que_Veux-tu-lyrics,p183649;A bouche que veux tu;Débutant;Pop/Rock;https://www.youtube.com/watch?v=lbLMABnJ7Vc;
Francis Cabrel;https://www.paroles-musique.com/paroles-Francis_Cabrel-La_Corrida-lyrics,p4836;La corrida;Débutant;Variet’;https://www.youtube.com/watch?v=jtssC13qIsM;
Francis Cabrel;https://www.paroles-musique.com/paroles-Francis_Cabrel-Je_Taimais_Je_Taime_Et_Je_taimerais-lyrics,p4819;Je t'aimais, je t'aime, je t'aimerai;Débutant;Variet’;https://www.youtube.com/watch?v=qREJkeCioVI;
Pascal Obispo;https://www.paroles-musique.com/paroles-Pascal_Obispo-Lucie-lyrics,p11556;Lucie;Débutant;Variet’;https://www.youtube.com/watch?v=2GZxqT7o8jc;
Pascal Obispo;https://www.paroles-musique.com/paroles-Pascal_Obispo-Limportant_Cest_Daimer-lyrics,p11495;L’important c’est d’aimer;Débutant;Variet’;https://www.youtube.com/watch?v=yYikYDnlTrY;
Florent Pagny;https://www.paroles-musique.com/paroles-Florent_Pagny-Chanter-lyrics,p19207;Chanter;Débutant;Variet’;https://www.youtube.com/watch?v=xMuhR35sEHY;
Calogero;https://www.paroles-musique.com/paroles-Calogero-Aussi_Libre_Que_Moi-lyrics,p1029;Aussi libre que moi;Débutant;Variet’;https://www.youtube.com/watch?v=iWLpk35c584;
Alain Souchon;https://www.paroles-musique.com/paroles-Alain_Souchon-Foule_Sentimentale-lyrics,p3504;Foule Sentimentale;Débutant;Variet’;https://www.youtube.com/watch?v=yqzMim3Sn3s;
Noir désir ;https://www.paroles-musique.com/paroles-Noir_Desir-Lhomme_Presse-lyrics,p2908;l’homme pressé;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=by1RRP9wa_Y;
Noir désir ;https://www.paroles-musique.com/paroles-Noir_Desir-Lost-lyrics,p14153;Lost;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=r02plQXUQXk;
Téléphone;https://www.paroles-musique.com/paroles-Telephone-Un_Autre_Monde-lyrics,p2903;Un autre monde;Débutant;Pop/Rock;https://www.youtube.com/watch?v=xqnZPHo6qx4;
Téléphone;https://www.paroles-musique.com/paroles-Telephone-La_Bombe_Humaine-lyrics,p2889;La bombe humaine;Débutant;Pop/Rock;https://www.youtube.com/watch?v=lgfoOJziPfc;
Indochine;https://www.paroles-musique.com/paroles-Indochine-Jai_Demande_a_La_Lune-lyrics,p1838;J’ai demandé à la lune;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=KAOmC5qT02w;
Indochine;https://www.paroles-musique.com/paroles-Indochine-Alice_and_June-lyrics,p01466178;Alice & June;Intermédiaire;Pop/Rock;https://www.youtube.com/watch?v=Dnzs-ri0WK8;
