artist;link_lyrics;title;level;style;link_ytb;lyrics
M;https://www.paroles-musique.com/paroles-M-Onde_Sensuelle-lyrics,p828;Onde sensuelle;Principiante;Pop/Rock;https://www.youtube.com/watch?v=tbYAMlNvQSI;"J'entends encore l'onde sensuelle<br>
De ta bouche sur la mienne<br>
C'était si fort, c'était si beau<br>
La philosophie de ton souffle entre mes mots<br>
Les plumes volent encerclées par tes ondes<br>
Mes habits collent, faut qu'j'm'innonde<br>
Mais je n'sais plus où donner du crâne<br>
Ça n'répond plus, j'attends la panne<br>
Comment t'atteindre?<br>
Mais comment t'atteindre onde sensuelle<br>
Toi qui me donnes des ailes<br>
Pourrais-je te rendre un jour éternelle<br>
Pour nous lier jusqu'au ciel<br>
Tes doubles sens si romantiques<br>
M'ont troublé, onde magique<br>
Y a-t-il un sens à ta venue<br>
As-tu un nom, moi non plus<br>
Mais comment t'atteindre?<br>
Comment t'atteindre onde sensuelle<br>
Toi qui me donnes des ailes<br>
Pourrais-je te rendre un jour éternelle<br>
Pour nous lier jusqu'au ciel<br>
Oh oh<br>
Oh oh<br>
Oh oh<br>
Oh oh<br>
J'entends encore l’onde…<br>"
M;https://www.paroles-musique.com/paroles-M-Qui_De_Nous_Deux-lyrics,p012530696;Qui de nous deux;Principiante;Pop/Rock;https://www.youtube.com/watch?v=XVW5qA7QLmw;"Bras de bois<br>
Des clefs aux doigts<br>
Des cordes pour tendons<br>
Agite-nous<br>
Agite-moi<br>
Fais l'arpège<br>
Sature le son<br>
Qui de nous deux<br>
Inspire l'autre<br>
Oui je joue<br>
D'un sixième membre<br>
A la forme de tes hanches<br>
Ventre à ventre<br>
Elégante compagne<br>
Qui de nous deux<br>
Inspire l'autre<br>
Qui de nous deux<br>
Speed l'autre<br>
Speed l'autre<br>
Caisse parfois<br>
Pleine de doute<br>
Je te griffe<br>
Te lacère<br>
Des amplis chavirent<br>
Souvent j'ai voulu<br>
Te pendre à tes cordes<br>
T'oublier<br>
Aux objets trouvés<br>
Qui de nous deux<br>
Inspire l'autre<br>
Qui de nous deux<br>
Speed l'autre<br>
Speed l'autre<br>
Je t'appréhende<br>
Je te garde<br>
Je te pose<br>
À mon cou<br>
Issue à ma voix<br>
Inspire moi…<br>"
Olivia Ruiz;https://www.paroles-musique.com/paroles-Olivia_Ruiz-Elle_Panique-lyrics,p63509;Elle panique;Intermediário;Pop/Rock;https://www.youtube.com/watch?v=KWvdqzUQUhI;"Elle panique à l'idée d'en faire trop<br>
De vieillir prématurément<br>
Elle panique à l'idée d'être de trop<br>
Ou de s'ennuyer un instant<br>
Elle a peur que tu t'en ailles<br>
Peur de tes représailles<br>
Elle a peur pour son p'tit frère<br>
Elle a peur, peur pour son derrière<br>
Fous-moi la paix ma sale caboche<br>
Tu ne me feras pas sombrer<br>
Je t'aurai à grands coups de pioche<br>
Si tu ne laisses pas tomber<br>
Elle flippe qu'on ne l'aime plus<br>
Elle balise de s'aimer un jour<br>
Ça pressure, ça la tue<br>
Ça lessive dans son tambour<br>
Elle veut pas finir seule et moche<br>
Elle veut qu'on s'inquiète pour elle<br>
Elle veut pas voir de la bidoche<br>
Ni se laisser des poils sous les aisselles<br>
Fous-moi la paix ma vieille caboche<br>
Je suis rincée<br>
Tu ne me fous pas la pétoche<br>
Et je ne veux plus t'écouter<br>
Fous-moi la paix ou j'te taloche<br>
Je me sens toute démantelée<br>
Sur moi tes questions ricochent<br>
Inutile de te fatiguer<br>"
Olivia Ruiz;https://www.paroles-musique.com/paroles-Olivia_Ruiz-La_Femme_Chocolat-lyrics,p16903;La femme chocolat;Principiante;Pop/Rock;https://www.youtube.com/watch?v=gU8ckNkKbDA;"Taille-moi les hanches à la hache<br>
J'ai trop mangé de chocolat<br>
Croque moi la peau, s'il-te-plaît<br>
Croque moi les os, s'il le faut<br>
C'est le temps des grandes métamorphoses<br>
Au bout de mes tout petits seins<br>
S'insinuent, pointues et dodues<br>
Deux noisettes, crac! Tu les manges<br>
C'est le temps des grandes métamorphoses<br>
Au bout de mes lèvres entrouvertes<br>
pousse un framboisier rouge argenté<br>
Pourrais-tu m'embrasser pour me le couper...<br>
Pétris-moi les hanches de baisers<br>
Je deviens la femme chocolat<br>
Laisse fondre mes hanches Nutella<br>
Le sang qui coule en moi c'est du chocolat chaud...<br>
Un jour je vais m'envoler<br>
A travers le ciel à force de gonfler...<br>
Et je baillerai des éclairs<br>
Une comète plantée entre les dents<br>
Mais sur terre, en attendant<br>
Je me transformerai en la femme chocolat...<br>
Taille-moi les hanches à la hache<br>
J'ai trop mangé de chocolat...<br>"
Brigitte;https://www.paroles-musique.com/paroles-Brigitte-Battez_Vous_remix-lyrics,p145924;Battez vous;Principiante;Pop/Rock;https://www.youtube.com/watch?v=NDchKlVQZ4A;"Faites-vous la guerre pour me faire la cour<br>
Maintenant battez-vous<br>
Soyez gangsters, soyez voyous<br>
Maintenant battez-vous<br>
Toi mon tout, mon loubard<br>
Tu serais mon lascar superstar<br>
J'ai tellement besoin d'amour<br>
De tes bras, de ta voix de velours<br>
Sortez les dollars et les bijoux<br>
Mettez-vous à genoux<br>
Dans la Jaguar, dans la gadoue<br>
Mettez-vous à genoux<br>
Toi mon tout, mon loubard<br>
Tu serais mon lascar superstar<br>
J'ai tellement besoin d'amour<br>
De tes bras, de ta voix de velours<br>
J'ai tellement besoin d'amour<br>
Tu ferais de moi ta belle de jour<br>
Oh, besoin d'amour<br>
Je rêve d'un king de kidnapping<br>
De quitter mon pauvre living<br>
Je veux du swing et des bling-bling<br>
Et que le meilleur gagne sur le ring<br>
Toi mon tout, mon loubard<br>
Tu serais mon lascar superstar<br>
Et moi j'ai si peur dans le noir<br>
J'ai tellement besoin d'amour<br>
De tes bras, de ta voix de velours<br>
J'ai tellement besoin d'amour<br>
Tu ferais de moi ta belle de jour<br>
J'ai tellement besoin d'amour<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>
Et maintenant, battez-vous<br>"
Brigitte;https://www.paroles-musique.com/paroles-Brigitte-A_Bouche_Que_Veux-tu-lyrics,p183649;A bouche que veux tu;Principiante;Pop/Rock;https://www.youtube.com/watch?v=lbLMABnJ7Vc;"Vient ce jour, ma peau ne sait plus attendre <br>
Viens cours, des papillons au creux du ventre <br>
Viens me porter secours, je brûle de nous imaginer <br>
Le vin et les chansons d'amour en sucre <br>
Me font toujours autant d'effet <br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
J'ai peur de nous, j'ai pas envie de résister<br>
J'ai peur de nous, la raison n'est pas notre alliée<br>
Tour à tour on se tourne autour, sans jamais avoir basculé<br>
Les jeux interdits, ton humour abstrait<br>
Me font toujours autant d'effet<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Tu le sais, une évidence de tous les diables<br>
Je le sais, succomber est inévitable<br>
Quel dangereux paradis, s'offrir à bouche que veux-tu<br>
L'extase, un incendie qui nous tue<br>
C'est merveilleux, tu es foutu<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Palalalala pa pa palalala<br>
Le jour se lève, la fièvre prend fin<br>
M'aimeras-tu demain?<br>
Et mes lèvres posées sur tes mains<br>
M'aimeras-tu demain?<br>"
Francis Cabrel;https://www.paroles-musique.com/paroles-Francis_Cabrel-La_Corrida-lyrics,p4836;La corrida;Principiante;Variété;https://www.youtube.com/watch?v=jtssC13qIsM;"Depuis le temps que je patiente<br>
Dans cette chambre noire<br>
J'entends qu'on s'amuse et qu'on chante<br>
Au bout du couloir<br>
Quelqu'un a touché le verrou<br>
Et j'ai plongé vers le grand jour<br>
J'ai vu les fanfares, les barrières<br>
Et les gens autour<br>
Dans les premiers moments j'ai cru<br>
Qu'il fallait seulement se défendre<br>
Mais cette place est sans issue<br>
Je commence à comprendre<br>
Ils ont refermé derrière moi<br>
Ils ont eu peur que je recule<br>
Je vais bien finir par l'avoir<br>
Cette danseuse ridicule<br>
Est-ce que ce monde est sérieux?<br>
Est-ce que ce monde est sérieux?<br>
Andalousie je me souviens<br>
Les prairies bordées de cactus<br>
Je ne vais pas trembler devant<br>
Ce pantin, ce minus!<br>
Je vais l'attraper, lui et son chapeau<br>
Les faire tourner comme un soleil<br>
Ce soir la femme du torero<br>
Dormira sur ses deux oreilles<br>
Est-ce que ce monde est sérieux?<br>
Est-ce que ce monde est sérieux?<br>
J'en ai poursuivi des fantômes<br>
Presque touché leurs ballerines<br>
Ils ont frappé fort dans mon cou<br>
Pour que je m'incline<br>
Ils sortent d'où ces acrobates<br>
Avec leurs costumes de papier?<br>
J'ai jamais appris à me battre<br>
Contre des poupées<br>
Sentir le sable sous ma tête<br>
C'est fou comme ça peut faire du bien<br>
J'ai prié pour que tout s'arrête<br>
Andalousie je me souviens<br>
Je les entends rire comme je râle<br>
Je les vois danser comme je succombe<br>
Je pensais pas qu'on puisse autant<br>
S'amuser autour d'une tombe<br>
Est-ce que ce monde est sérieux?<br>
Est-ce que ce monde est sérieux?<br>
Si, si hombre, hombre<br>
Baila, baila<br>
Hay que bailar de nuevo<br>
Y mataremos otros<br>
Otras vidas, otros toros<br>
Y mataremos otros<br>
Venga, venga a bailar<br>
Y mataremos otros<br>"
Francis Cabrel;https://www.paroles-musique.com/paroles-Francis_Cabrel-Je_Taimais_Je_Taime_Et_Je_taimerais-lyrics,p4819;Je t'aimais, je t'aime, je t'aimerai;Principiante;Variété;https://www.youtube.com/watch?v=qREJkeCioVI;"Mon enfant nue sur les galets<br>
Le vent dans tes cheveux défaits<br>
Comme un printemps sur mon trajet<br>
Un diamant tombé d'un coffret<br>
Seule la lumière pourrait<br>
Défaire nos repères secrets<br>
Où mes doigts pris sur tes poignets<br>
Je t'aimais, je t'aime et je t'aimerai<br>
Et quoique tu fasses<br>
L'amour est partout où tu regardes<br>
Dans les moindres recoins de l'espace<br>
Dans le moindre rêve où tu t'attardes<br>
L'amour comme s'il en pleuvait<br>
Nu sur les galets<br>
Le ciel prétend qu'il te connaît<br>
Il est si beau c'est sûrement vrai<br>
Lui qui ne s'approche jamais<br>
Je l'ai vu pris dans tes filets<br>
Le monde a tellement de regrets<br>
Tellement de choses qu'on promet<br>
Une seule pour laquelle je suis fait<br>
Je t'aimais, je t'aime et je t'aimerai<br>
Et quoique tu fasses<br>
L'amour est partout où tu regardes<br>
Dans les moindres recoins de l'espace<br>
Dans le moindre rêve où tu t'attardes<br>
L'amour comme s'il en pleuvait<br>
Nu sur les galets<br>
On s'envolera du même quai<br>
Les yeux dans les mêmes reflets<br>
Pour cette vie et celle d'après<br>
Tu seras mon unique projet<br>
Je m'en irai poser tes portraits<br>
À tous les plafonds de tous les palais<br>
Sur tous les murs que je trouverai<br>
Et juste en dessous, j'écrirai<br>
Que seule la lumière pourrait<br>
Et mes doigts pris sur tes poignets<br>
Je t'aimais, je t'aime et je t'aimerai<br>"
Pascal Obispo;https://www.paroles-musique.com/paroles-Pascal_Obispo-Lucie-lyrics,p11556;Lucie;Principiante;Variété;https://www.youtube.com/watch?v=2GZxqT7o8jc;"Lucie, Lucie c'est moi je sais<br>
Il y a des soirs comme ça où tout<br>
S'écroule autour de vous<br>
Sans trop savoir pourquoi toujours<br>
Regarder devant soi<br>
Sans jamais baisser les bras, je sais<br>
C'est pas le remède à tout<br>
Mais 'faut se forcer parfois<br>
Lucie, Lucie dépêche toi, on vit<br>
On ne meurt qu'une fois<br>
Et on n'a le temps de rien<br>
Que c'est déjà la fin mais<br>
C'est pas marqué dans les livres<br>
Que le plus important à vivre<br>
Est de vivre au jour le jour<br>
Le temps c'est de l'Amour<br>
Même, si je n'ai pas le temps<br>
D'assurer mes sentiments<br>
J'ai en moi, oh de plus en plus fort<br>
Des envies d'encore<br>
Tu sais, non, je n'ai plus à coeur<br>
De réparer mes erreurs ou de<br>
Refaire c'qu'est plus à faire<br>
Revenir en arrière<br>
Lucie, Lucie t'arrêtes pas, on ne vit<br>
Qu'une vie à la fois<br>
A peine le temps de savoir<br>
Qu'il est déjà trop tard, mais<br>
C'est pas marqué dans les livres<br>
Que le plus important à vivre<br>
Est de vivre au jour le jour<br>
Le temps c'est de l'Amour<br>
Mmmm, Lucie, j'ai fait le tour<br>
De tant d'histoires d'amour<br>
J'ai bien, bien assez de courage<br>
Pour tourner d'autres pages, saches<br>
Que le temps nous est compté<br>
Faut jamais se retourner en se disant<br>
""Que c'est dommage<br>
D'avoir passé l'âge""<br>
Lucie, Lucie t'encombres pas<br>
De souvenirs, de choses comme ça<br>
Aucun regrêt ne vaut le coup<br>
Pour qu'on le garde en nous, mais<br>
C'est pas marqué dans les livres<br>
Que le plus important à vivre<br>
Est de vivre au jour le jour<br>
Le temps c'est de l'Amour<br>
C'est pas marqué dans les livres<br>
Que le plus important à vivre<br>
Est de vivre au jour le jour<br>
Le temps c'est de l'Amour<br>"
Pascal Obispo;https://www.paroles-musique.com/paroles-Pascal_Obispo-Limportant_Cest_Daimer-lyrics,p11495;L’important c’est d’aimer;Principiante;Variété;https://www.youtube.com/watch?v=yYikYDnlTrY;"Peu importe ce qu'on donne<br>
Un sourire, une couronne<br>
À quelqu'un ou bien à personne<br>
Peu importe ce qu'on donne<br>
Donner c'est comme recevoir<br>
Mais sans s'en apercevoir<br>
Comme quand on pardonne à ceux qu'on aime<br>
Qu'on goûte à l'opium d'aimer quand même<br>
D'aimer quand même<br>
D'aimer quand même<br>
L'important c'est d'aimer, pour tout donner<br>
L'important c'est d'y croire sans s'en apercevoir<br>
L'important c'est toujours d'être en amour<br>
L'important c'est donner, et ne rien demander<br>
Peu importe ce qu'on laisse<br>
À tous ceux qui nous délaissent<br>
Qu'on survive ou qu'on disparaisse<br>
Peu importe qui nous blesse<br>
Laisser c'est comme tout vouloir<br>
Mais sans s'en apercevoir<br>
C'est comme une faiblesse pour ceux qu'on aime<br>
C'est presqu'une promesse d'aimer quand même<br>
D'aimer quand même<br>
D'aimer quand même<br>
L'important c'est d'aimer, pour tout donner<br>
L'important c'est d'y croire sans s'en apercevoir<br>
L'important c'est toujours d'être en amour<br>
L'important c'est donner, et ne rien demander<br>
Peu importe ce qu'on dit<br>
Avec des mots ou des cris<br>
Quand c'est le cœur qui parle aussi<br>
Peu importe ce qu'on vit<br>
Il faut toujours le vouloir<br>
Et bien s'en apercevoir<br>
Comme quand on sourit à ceux qu'on aime<br>
Qu'on goûte à l'opium d'aimer quand même<br>
D'aimer quand même<br>
D'aimer quand même<br>
L'important c'est d'aimer, pour tout donner<br>
L'important c'est d'y croire sans s'en apercevoir<br>
L'important c'est toujours d'être en amour<br>
L'important c'est donner, et ne rien demander<br>
L'important c'est d'aimer, pour tout donner<br>
L'important c'est d'y croire sans s'en apercevoir<br>
D'aimer quand même<br>
Comme je voudrais que l'on m'aime<br>"
